,TranslatedDescription,Assignment group
481,ti data gemany steel miss  teday clock ugently  evaluation efficiency level,GRP_33
482,netwok outage poncacity gemany dmvpn oute  type cicuit powe  specify top cet site  stat schedule maintence  povide maint ticket backup active contact notify phone email emote dial equipnt eset veify wok vendo global telecom veizon gsc additiol diagnostics,GRP_8
483, open collaboation platfom link shae euope cotepat  theajdlkadyt htgsd language bowse micosoft intenet exploe email custo numbe summay eagl use schethsdlw  inc,GRP_0
484,each passwod magent tool mage change passwod mitgckqf ewougcx language bowse micosoft intenet exploe email custo numbe summay,GRP_0
485,bngell cgdaytshqsd  add  team   administative contol  head ndthwedwys ao leave  kind,GRP_19
486,job sid filesys fail schedule,GRP_8
487,msd office outlook  povide detail issue lhduty gqchtedl obuwfnkm ufpwmybi,GRP_31
488,host team business sahtym wanthyg,GRP_12
490,login issuelogin issue veify use detail employee mage  check lock accot advise calle confim  esolve,GRP_0
491,octobe cybe secuity month ansomwae,GRP_0
492,m outlook stop update cant eceive send mail   check lfal look like bothms office instal access database wok pacific,GRP_0
494,logon balance eo ep sid use bandthee pjdhfitman call behalf,GRP_2
497,backup  povide mobile phone,GRP_0
498,puchasingupsteamsso qpixeudn jlziysd ceate jlziysd bachsdadgtadw samaccot lowecase,GRP_2
499,badge msc tain  activate numbe  active monday octobe cst thusday novembe,GRP_3
500,get cmmissing sale makhtyeting tab entepise potal give access cm,GRP_2
501, povide access  follow path  pmgzjikq potmkxy appoval tbvpkjoh wnxzhqoa  usa plant contolle mailto,GRP_16
503, login collaboation platfom passwod eset,GRP_0
504,call phone waehouse toolmail even ing,GRP_3
505,sale aea selection oppotity filte accot extend instead show  attach email commication include example,GRP_40
506,pc detect dock station,GRP_3
507,touble connect secuejefhf secue emote site usa,GRP_3
508,log ep  eboot compute anothe get blank sceen,GRP_41
509,equest eset micosoft online sevice passwod behalf  inc mailto send monday octobe nwfodmhc exucwkm shadakjsdd impotance high use follow oganization pefom accot fist  twejhda last asjadjs conside contact validate authentic continue detemine valid use admin potal office window inte azue etc want let check en click ely ssage monitoed email addess  eply,GRP_0
510,usa file seve host fail had dive,GRP_12
513,lock accot use aeftjxos lhnyofad vvsadkajdjtfhi team   vvsadkajdjtf case expie extend access mage zuyimtsf qjtimdsp contact majsdtnio doubt etun,GRP_2
514, login outlookfom jsulvat uanigkqc send monday octobe nwfodmhc exucwkm thadasgg fwd poblem outlook iphone  stat,GRP_0
515,logon balance eo ep,GRP_2
517,use ccghksdm use login  via citix citix assu  delete use pofile seve  send ticket team accot active diectoy lock oinqckds qieswfu mage gesendet dienstag oktobe beteff passwod eset last bsddqd doesnt wok cant mont,GRP_12
518,ptgghj access lockedjgdydqqd lock  onto passwod magent tool eset jgdydqqd list  lock accot aep,GRP_2
519, connect ho intenetintenet connection appea wok wieless,GRP_0
520, sign epot tool  soone  assist coect use  passwod neve,GRP_2
521,vitalyst tansfe cm calenda show outlook,GRP_0
522, access ep vpn connectionwoking ho stat keep get logon balance eo suggest submit team usa,GRP_0
523,mobile device activation  colleague would  kind activate new iphone hybegvwo dbgtqhs  kstdaddaad detail  mail many,GRP_0
524,ndigg eluvxqhw gpbfkqeu effective appove ,GRP_2
525,passwod eset nwfodmhc exucwkm send monday octobe uzpycdho hdswinlo ustvaifg hmzfewks window expie soon fotutely automatic pocess extend ti peiod co back vacation  give call,GRP_0
528,ep  fievgddt language bowse micosoft intenet exploe email custo numbe telephone summay bloqued many fail attempt tank,GRP_0
529,skype online et feezing join keep feeze,GRP_27
530, connect  cente sale og wok,GRP_0
532, connect global telecom boadband joethud language bowse micosoft intenet exploe email custo numbe telephone summay use boadband sevice,GRP_0
533,passwod expiedgathyhtuy office long ti  assistance log back mont,GRP_0
534,summay attendance tool passwod foget  kiathydan language bowse micosoft intenet exploe email custo numbe telephone,GRP_0
535,ep zqt pntp zntc pice calculate quote net it cost load  sceenshots email attach  send custo ode,GRP_13
536, use bobjee application seach exploe alytics ep netweave potaleo ssage possible etieve facet value stat exploe infomation space contain data,GRP_9
537,u ti change team hub post publish aep evet question plan sevice disuption event daylight save end begin edt satuday novembe follow est sday affect ep use system include plm cm supply chain hcm eason must stop pevent data inconsistency copoate datacente xabkyoug wdkyiqfx nvyjtmca xjhpznds netwok opeation best,GRP_0
538,job host idb daily fail schedule,GRP_5
539,cack sceen tun touch long jump cuse aod phone  lmsl ,GRP_3
540,passwod eset uacyltoe hxgayczemii  dctvfjn oypnxftq language bowse micosoft intenet exploe email custo numbe telephone summay aolhgbps pbxqtcek,GRP_0
541, login skype,GRP_0
542,laptop issue hallo outlook collapse two ti  estat statup anymoe sceen aleady half hou image jpg et viendelijke goet lwizucan zvnxlobq diecteu  mailto,GRP_0
543,eceive collaboation platfom deletion email english co spanish aleady tell lothya an  ente ticket,GRP_16
545,ip addess conflict cathygyol back office week saw ssage equest estat ,GRP_0
546,scan wok ho pinte,GRP_0
548,skype et add get dis outlook,GRP_0
549,connect note book vpn page csn show,GRP_0
550,passwod infosthyda expie south aitca ep wok today attempt use client show ssage attach micosoft odbc vmsliazh ltksxmyv dive login fail use eason accot contact vendo say due set configue  dba team lock cahnge setup new,GRP_1
551,eset passwod mgvpoyqd tnlshpwb use magent tool,GRP_17
552,speake wok skype  face issue sod et kindly ful best,GRP_0
553,poblem ticket fix chg backegading key use epot attach email application show today contact vendo tell veify ecomnd  command investigate  suggest involve dba team m miss infomation,GRP_1
554,t pinte pinting gqhfieys pkwcdbv language bowse micosoft intenet exploe email custo numbe telephone summay still wok system estat,GRP_0
555,poblem fuse it qvncizuf ueiybanz,GRP_24
556,efjkspc sfhbp window passwod expie soon send monday octobe nwfodmhc exucwkm impotance high  change day ago get eminde  infom,GRP_0
557,aw team dive folde etention deletion  eview espond  suppot  give vxpcntw xelhoicd pemission ead wite load upload file global sge pogamdnty many,GRP_34
558,usa deletioll goup qlhmawgi sgwipoxns usatdhdal delete ,GRP_2
559,uacyltoe hxgaycze tqnbkjgu xyedbsnm language bowse micosoft intenet exploe email custo numbe telephone summay hxgaycze,GRP_0
560,bill block emove automatically  check automatically,GRP_13
561, ceate delivey note sto wok,GRP_6
562,ep sid poduction passwod eset chthysdystal language bowse micosoft intenet exploe email custo numbe telephone summay   eset,GRP_0
563, install pinte,GRP_0
564,ugent use gemany epot each gso use chat featuetqnbkjgu xyedbsnm colleague  fill fom next page co  logo,GRP_21
565,new iphone activation die synchonisieg mit exchange activesync ist auf ihem ge vo begehend blockiet  colleague would  kind activate hybegvwo dbgtqhs  sdjdskjdky detail  mail many,GRP_0
566,folde access host depatents aese thyad ead wite ,GRP_0
567,outlook micosoft application ssage appea say poduct deactivate,GRP_0
568,laptop bettey issuefacing chage issue compute  aidl sevice tag dcd,GRP_19
569,eset passwod bfnvjgxd tqmnpvu use magent tool,GRP_17
570,pinte malfction  scan doct eo ssage access check follow destition fail host kmscan file path find edied even switch seveal ti best wish,GRP_42
572,ep lock fail attempt passwod  lock,GRP_0
573,passwod synchonize,GRP_0
574,the machine defective long stop,GRP_33
575,pc awywx ddept qlhmawgi sgwipoxn get netwok connection,GRP_19
576,call salesfoce hathytmutcalle  benjamthdyin want talk hathytmut,GRP_0
577,bug employee extact pogamdnty epotncqulao qauighdpge appea blank,GRP_10
578,eu tool gemany steel ohne fktion cklden geht nicht,GRP_25
581,msd cm eo open outlook outlook eo net pess continue wok plug othewise cash,GRP_0
582,wk qdxyifhj zbwtpyhallo check mail button pinte thank uwe,GRP_33
583,hi use  logon cm website link ottyhddok thielpwii lobodeid loksdkdjwda  get touch,GRP_33
585,activation outlook email access samsg edge device nzuofeam exszgtwd  usa new apac cpmcial find infomation follow mage  chucashadqc wsljdqqds eplacent old  exist phone long use emove,GRP_0
586,poblem bluesceen  compute dop wokstation seveal ti display blue sceen white lette  look site,GRP_24
588,display desk phone,GRP_33
589,poblem lan compute eosion machine dtlmbcx mwuateyx,GRP_24
590,netwok outage south aitca c  dmvpn oute  backup cicuitwhat type cicuit powe  specify top cet site  stat schedule maintence povide maint ticket active contact notify phone email emote dial equipnt eset veify wok vendo global telecom veizon gsc additiol diagnostics,GRP_8
591,eu tool hang slow loaction,GRP_25
593,geman wokflow object folde industial gen ing tanspotation icigeman ici moning appoximately  check ,GRP_13
594,poblem outlook  stat,GRP_0
595,netwok dive quatto connect  sday,GRP_42
596,passwod eset vvjotsgssea,GRP_0
597,uacyltoe hxgaycze chat,GRP_0
598,mot equest lib pod weekly job backup tool host,GRP_8
599, change window passwod use magent tool connect use system teamviewe login mage sync psswods  netwok calle confim  issue esolve,GRP_0
600,employee own mobility ageent,GRP_0
601,chat featue geman language woking check elate change  telephony softwae queue fdf gemany  attach eo ul english wok nomally,GRP_7
605,mateial type ceate equint zlz ageent ode mit fedlichen best,GRP_13
607,passwot change fail   madam passwod magent tool mage follow issue occu ep hcm poduction taget  detail say  contact desk many,GRP_0
608,label pinte aea fil inspection gemany defective fctiol disuption,GRP_33
609,uacyltoe hxgayczeing,GRP_36
610,pinte   long wok popely label shift  infom himghtleich many thank best,GRP_33
613,aea code out check machine linethe follow line tyuhfljp zyjfpgtk soone call  desk lewbzysd gqdaikbv  goup dnis,GRP_7
614,enginee tool login issue  change window passwod use magent connect use system teamviewe mage sync psswods  netwok calle confim  esolve,GRP_0
615,netwok outage india  sday oct telecom vendo type cicuit powe  specify top cet site  stat schedule maintence  povide maint ticket backup active contact notify phone email emote dial equipnt eset veify wok global veizon gsc additiol diagnostics,GRP_8
616,uacyltoe hxgaycze ticket,GRP_0
617,login possible tail employee thsaqsh  follow wok pthyu   hub mail view salay slip equest ectify aep  numbe mailto use wshqqhdqh passwod vasanqi,GRP_0
618,outlook ost,GRP_0
619,cicuit outage india plant pimay telecom vendo  site seconday type netwok powe  specify top cet  stat schedule maintence  povide maint ticket backup active contact notify phone email emote dial equipnt eset veify wok global veizon gsc additiol diagnostics,GRP_8
620,issue ep login face wifi connectivity best,GRP_0
621,uacyltoe hxgaycze ignoeuacyltoe,GRP_36
622, update status ticket tool    issue example info,GRP_0
623,uacyltoe hxgayczeing  ignoeuacyltoe pls ignoe,GRP_36
624,uacyltoe hxgayczeing  ignoe,GRP_36
625,excel database poblem  automation  develop one application access intelly aleady check collogue wok fine app make putyh pess tool team machine system configuation well  awywkwd awyl awywkjsw office bite eo get,GRP_19
626,poduction ode numbe issue gso cuently ep system find identify ente shopfloo eveything fine outine maintence  open ticket escalate esponsible team ugent best,GRP_43
627,eo login sid system veify use detail employee mage   passwod magent tool pwd lock eset ep daypay calle confim  issue esolve,GRP_0
628,office excel powepoint,GRP_31
632, access outlook team kindly  assist use tahamt change passwod thy ldikdowdfm opeation supeviso  distibution sevice asia pte ltd email mailto,GRP_0
633, delete follow session ceate tomyh oen,GRP_44
634,look pice availability local zeo  global availability attachnt,GRP_40
635,inquiy impact awadsfom wauhocsk vxuikqaf send sday octobe nwfodmhc exucwkm lxponic lyszwcxg anlpbmw djwkylif awad    kind  ask tell ight people talk change position diecto sale theeadjjd mage diect side plug point appove still guess issue might west euope well oigil cohuani dtjvhyob new e would case  info let know,GRP_0
636, povide access mail mobile phone device tempoaily block synchonize use exchange activesync administato usa,GRP_0
637,job bkbackup tool csqe dev inc fail schedule,GRP_5
638,job bkbackup tool host pod inc fail schedule,GRP_5
643,inteface gigabitethenet usa access coe  pm,GRP_4
644,outlook wok   fix thsadyu dwwlhews sale mage mailto,GRP_0
647,host gemany seve ,GRP_12
648,call co music nothing else,GRP_0
649,blank call loud noise,GRP_0
650,ep passwod eset equie login antadth wam,GRP_0
651,call co get disconnect,GRP_0
652,job bwheatt fail schedule,GRP_9
654,host co weekly eboothost eboot note ecently hdd powe supply eplace seve use kaashsnnsb ping  com byte data equest ti statistic packet send lose loss,GRP_12
655,job ha sid wly fail schedule,GRP_8
661,job bkbackup tool sql pod full fail schedule,GRP_8
663,job ha sid ep wly fail schedule,GRP_8
664,switch apac  pmwh access locate  pm,GRP_8
665,inquiy expense epot ep,GRP_0
666,job bkbackup tool powde pod full fail schedule,GRP_8
669,job bkbackup tool sql pod full fail schedule,GRP_5
672,job bkbackup tool pimay pod full fail schedule,GRP_5
674,host disk volu space consu avail g,GRP_12
675,job bwdpmbkp fail schedule,GRP_9
676,host seve offline expeience inteuption system involve netwok pinte opeatiol due poblem  advise best,GRP_4
677,netwok outage south aitca ktthasb site had dwon  type cicuit powe  specify top cet  stat schedule maintence  povide maint ticket backup active contact notify phone email emote dial equipnt eset veify wok vendo global telecom veizon gsc additiol diagnostics,GRP_8
678,accot lock,GRP_0
679,temite action kmzucxgq vjzfocgt complete send satuday octobe nwfodmhc exucwkm  temition effective appove,GRP_2
680,poblem data model excel get wok bwfhtumx japznvb egiol contolle mailto,GRP_0
